"CubeId";"plimoinchq"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"D1";"Value"
"2019-Q4";"BF";"AP";"128.22097958"
"2019-Q4";"GF";"AP";"111.2388526"
"2019-Q4";"VF";"AP";"115.64838543"
"2020-Q1";"EW";"TP3";"99.052"
"2020-Q1";"EW";"TP1";"223.19653446"
"2020-Q1";"EW";"TP2";"197.31243001"
"2020-Q1";"EW";"AP";"176.39550385"
"2020-Q1";"EW";"TP";"200.45787116"
"2020-Q1";"EH";"TP3";"99.4514"
"2020-Q1";"EH";"TP1";"184.61810059"
"2020-Q1";"EH";"TP2";"178.87077998"
"2020-Q1";"EH";"AP";"168.73548794"
"2020-Q1";"EH";"TP";"182.30493456"
"2020-Q1";"MH";"TP1";"161.42453856"
"2020-Q1";"MH";"TP2";"146.86882505"
"2020-Q1";"MH";"TP";"145.87503574"
"2020-Q1";"MW";"AP";"144.15152937"
"2020-Q1";"BF";"AP";"127.91180739"
"2020-Q1";"GF";"AP";"110.43401426"
"2020-Q1";"VF";"AP";"114.62876297"
"2020-Q2";"EW";"TP3";"100.648"
"2020-Q2";"EW";"TP1";"228.74097554"
"2020-Q2";"EW";"TP2";"198.70711595"
"2020-Q2";"EW";"AP";"175.74954314"
"2020-Q2";"EW";"TP";"202.09929057"
"2020-Q2";"EH";"TP3";"100.5419"
"2020-Q2";"EH";"TP1";"188.95087865"
"2020-Q2";"EH";"TP2";"180.15133877"
"2020-Q2";"EH";"AP";"170.63824507"
"2020-Q2";"EH";"TP";"184.85237988"
"2020-Q2";"MH";"TP1";"161.14178584"
"2020-Q2";"MH";"TP2";"146.24563003"
"2020-Q2";"MH";"TP";"148.70108445"
"2020-Q2";"MW";"AP";"143.54459238"
"2020-Q2";"BF";"AP";"128.85027239"
"2020-Q2";"GF";"AP";"109.0594005"
"2020-Q2";"VF";"AP";"116.05273482"
"2020-Q3";"EW";"TP3";"100.0234"
"2020-Q3";"EW";"TP1";"231.71019394"
"2020-Q3";"EW";"TP2";"200.34612644"
"2020-Q3";"EW";"AP";"176.14380645"
"2020-Q3";"EW";"TP";"204.57587438"
"2020-Q3";"EH";"TP3";"101.6683"
"2020-Q3";"EH";"TP1";"191.91172603"
"2020-Q3";"EH";"TP2";"179.87970508"
"2020-Q3";"EH";"AP";"172.82467878"
"2020-Q3";"EH";"TP";"187.70329018"
"2020-Q3";"MH";"TP1";"158.84728388"
"2020-Q3";"MH";"TP2";"144.58124335"
"2020-Q3";"MH";"TP";"149.97044276"
"2020-Q3";"MW";"AP";"142.39519035"
"2020-Q3";"BF";"AP";"128.89826356"
"2020-Q3";"GF";"AP";"112.67172303"
"2020-Q3";"VF";"AP";"116.39454055"
"2020-Q4";"EW";"TP3";"103.1062"
"2020-Q4";"EW";"TP1";"234.92170654"
"2020-Q4";"EW";"TP2";"203.30856154"
"2020-Q4";"EW";"AP";"178.09901913"
"2020-Q4";"EW";"TP";"209.14172144"
"2020-Q4";"EH";"TP3";"103.154"
"2020-Q4";"EH";"TP1";"193.36941649"
"2020-Q4";"EH";"TP2";"181.12145906"
"2020-Q4";"EH";"AP";"176.75381712"
"2020-Q4";"EH";"TP";"188.94571941"
"2020-Q4";"MH";"TP1";"160.44325101"
"2020-Q4";"MH";"TP2";"145.7744338"
"2020-Q4";"MH";"TP";"149.26901249"
"2020-Q4";"MW";"AP";"141.71974789"
"2020-Q4";"BF";"AP";"128.4363442"
"2020-Q4";"GF";"AP";"113.63217597"
"2020-Q4";"VF";"AP";"118.36048951"
"2021-Q1";"EW";"TP3";"102.905"
"2021-Q1";"EW";"TP1";"237.17215361"
"2021-Q1";"EW";"TP2";"205.31405884"
"2021-Q1";"EW";"AP";"178.8222097"
"2021-Q1";"EW";"TP";"212.22307089"
"2021-Q1";"EH";"TP3";"103.2623"
"2021-Q1";"EH";"TP1";"194.9732488"
"2021-Q1";"EH";"TP2";"184.24524641"
"2021-Q1";"EH";"AP";"179.66785959"
"2021-Q1";"EH";"TP";"192.39210497"
"2021-Q1";"MH";"TP1";"160.46238626"
"2021-Q1";"MH";"TP2";"146.78522572"
"2021-Q1";"MH";"TP";"149.37608849"
"2021-Q1";"MW";"AP";"140.62910972"
"2021-Q1";"BF";"AP";"127.83691779"
"2021-Q1";"GF";"AP";"116.41854252"
"2021-Q1";"VF";"AP";"117.6165573"
"2021-Q2";"EW";"TP3";"104.7728"
"2021-Q2";"EW";"TP1";"238.98401014"
"2021-Q2";"EW";"TP2";"207.98126845"
"2021-Q2";"EW";"AP";"179.93663352"
"2021-Q2";"EW";"TP";"215.79848478"
"2021-Q2";"EH";"TP3";"105.9631"
"2021-Q2";"EH";"TP1";"197.30459327"
"2021-Q2";"EH";"TP2";"188.22273962"
"2021-Q2";"EH";"AP";"182.72761926"
"2021-Q2";"EH";"TP";"196.48099614"
"2021-Q2";"MH";"TP1";"161.79795824"
"2021-Q2";"MH";"TP2";"147.83401733"
"2021-Q2";"MH";"TP";"155.62396344"
"2021-Q2";"MW";"AP";"138.92751965"
"2021-Q2";"BF";"AP";"128.78127333"
"2021-Q2";"GF";"AP";"117.63664151"
"2021-Q2";"VF";"AP";"116.75398516"
"2021-Q3";"EW";"TP3";"107.2109"
"2021-Q3";"EW";"TP1";"241.12941205"
"2021-Q3";"EW";"TP2";"210.64847806"
"2021-Q3";"EW";"AP";"180.18987423"
"2021-Q3";"EW";"TP";"219.58823809"
"2021-Q3";"EH";"TP3";"108.4884"
"2021-Q3";"EH";"TP1";"201.68326511"
"2021-Q3";"EH";"TP2";"190.25999224"
"2021-Q3";"EH";"AP";"183.46995748"
"2021-Q3";"EH";"TP";"201.68662397"
"2021-Q3";"MH";"TP1";"165.26134528"
"2021-Q3";"MH";"TP2";"151.08679131"
"2021-Q3";"MH";"TP";"159.74622491"
"2021-Q3";"MW";"AP";"138.54087779"
"2021-Q3";"BF";"AP";"127.34593518"
"2021-Q3";"GF";"AP";"117.47237493"
"2021-Q3";"VF";"AP";"114.8638117"
"2021-Q4";"EW";"TP3";"110.0106"
"2021-Q4";"EW";"TP1";"243.6003027"
"2021-Q4";"EW";"TP2";"213.70253487"
"2021-Q4";"EW";"AP";"180.40128511"
"2021-Q4";"EW";"TP";"223.13906008"
"2021-Q4";"EH";"TP3";"111.4037"
"2021-Q4";"EH";"TP1";"204.57006099"
"2021-Q4";"EH";"TP2";"194.38300349"
"2021-Q4";"EH";"AP";"185.98151014"
"2021-Q4";"EH";"TP";"204.60736302"
"2021-Q4";"MH";"TP1";"170.79566587"
"2021-Q4";"MH";"TP2";"154.30916553"
"2021-Q4";"MH";"TP";"159.59887907"
"2021-Q4";"MW";"AP";"137.98850581"
"2021-Q4";"BF";"AP";"125.13837462"
"2021-Q4";"GF";"AP";"116.86046399"
"2021-Q4";"VF";"AP";"114.95083659"
"2022-Q1";"EW";"TP3";"108.6991"
"2022-Q1";"EW";"TP1";"249.64412599"
"2022-Q1";"EW";"TP2";"215.85055482"
"2022-Q1";"EW";"AP";"181.2955758"
"2022-Q1";"EW";"TP";"228.15011217"
"2022-Q1";"EH";"TP3";"112.0222"
"2022-Q1";"EH";"TP1";"204.1186805"
"2022-Q1";"EH";"TP2";"197.95304618"
"2022-Q1";"EH";"AP";"189.47280427"
"2022-Q1";"EH";"TP";"209.09855696"
"2022-Q1";"MH";"TP1";"173.67624468"
"2022-Q1";"MH";"TP2";"156.04195166"
"2022-Q1";"MH";"TP";"163.32821648"
"2022-Q1";"MW";"AP";"138.41360052"
"2022-Q1";"BF";"AP";"124.74603691"
"2022-Q1";"GF";"AP";"119.05957708"
"2022-Q1";"VF";"AP";"111.3658628"
"2022-Q2";"EW";"TP3";"112.2438"
"2022-Q2";"EW";"TP1";"255.04339702"
"2022-Q2";"EW";"TP2";"217.5913672"
"2022-Q2";"EW";"AP";"183.2776376"
"2022-Q2";"EW";"TP";"231.46543407"
"2022-Q2";"EH";"TP3";"114.3068"
"2022-Q2";"EH";"TP1";"208.93020521"
"2022-Q2";"EH";"TP2";"199.11719053"
"2022-Q2";"EH";"AP";"190.52874541"
